B,dBf,dBs,h0f,h0s,p0s,year,row,Qs,Qf,gs,gf,p0f,c0rs,crs,rmT,rmN,ef,es,l,PHIff,PHIfrT,PHIfs,PHIsf,PHIsrT,PHIss,PHIsrN,PHIfrN
910,75.4,75.4,45.3,42.7,67000,1940,1,2.8727272727272726,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1941,2,3.245454545454545,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1942,3,3.618181818181818,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1943,4,3.9909090909090907,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1944,5,4.363636363636363,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1945,6,4.736363636363636,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1946,7,5.109090909090909,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1947,8,5.4818181818181815,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1948,9,5.8545454545454545,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1949,10,6.227272727272727,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1950,11,6.6,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1951,12,6.972727272727272,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1952,13,7.345454545454546,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1953,14,7.718181818181818,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1954,15,8.09090909090909,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1955,16,8.463636363636363,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1956,17,8.836363636363636,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1957,18,9.209090909090909,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1958,19,9.581818181818182,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1959,20,9.954545454545453,0,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1960,21,10.327272727272728,0.3076923076923077,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1961,22,10.7,0.6153846153846154,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1962,23,11.072727272727272,0.9230769230769231,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1963,24,11.445454545454544,1.2307692307692308,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1964,25,11.818181818181818,1.5384615384615385,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1965,26,12.190909090909091,1.8461538461538463,0.6,0.6,67000,0,20000,0,0,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
